State,Department,Website,District,Block
Karnataka,"Ballari- Office of The Registrar of Co-operative Societies, Department of Co-operation",RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,"Ballari- Office of The Senior Assistant Director, Department of Fisheries",RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,"Ballari- Office of The Senior Geologist, Department of Mines and Geology",RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,Ballari- Office of The Superintendent of Police,RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,"Ballari- Regional Office, Karnataka State Pollution Control Board",RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,Ballari-Ballari-Rural Development and Panchayat Raj - RDPR(T.P),RTI_Online_Karnataka,Ballari,Ballari
Karnataka,Ballari-City Corporation,RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,Ballari-Deputy Director of Land Records-DDLR,RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,Ballari-District Consumer disputes Redressal commission,RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,Ballari-District Registrar - DR,RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,Ballari-Food and Civil Supplies - FCS,RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,Ballari-Hagaribommanahalli-Rural Development and Panchayat Raj - RDPR(T.P),RTI_Online_Karnataka,Ballari,Hagaribommanahalli
Karnataka,Ballari-Harappanahalli-Rural Development and Panchayat Raj - RDPR(T.P),RTI_Online_Karnataka,Ballari,Harappanahalli
Karnataka,Ballari-Hoovina Hadagali-Rural Development and Panchayat Raj - RDPR(T.P),RTI_Online_Karnataka,Ballari,Hoovina Hadagali
Karnataka,Ballari-Hosapete-Rural Development and Panchayat Raj - RDPR(T.P),RTI_Online_Karnataka,Ballari,Hosapete
Karnataka,Ballari-Kudligi-Rural Development and Panchayat Raj - RDPR(T.P),RTI_Online_Karnataka,Ballari,Kudligi
Karnataka,Ballari-LABOUR,RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,"Ballari-Office of The District Officer, Backward Class Welfare Department",RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,Ballari-Public Works Department - PWD,RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,Ballari-REVENUE,RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,Ballari-Rural Development and Panchayat Raj - RDPR(Z.P),RTI_Online_Karnataka,Ballari,NA
Karnataka,Ballari-Sanduru-Rural Development and Panchayat Raj - RDPR(T.P),RTI_Online_Karnataka,Ballari,Sanduru
Karnataka,Ballari-Siruguppa-Rural Development and Panchayat Raj - RDPR(T.P),RTI_Online_Karnataka,Ballari,Siruguppa
Karnataka,Ballari-Urban Development Cell - DUDC,RTI_Online_Karnataka,Ballari,Not Applicable
Karnataka,Bangalore Development Authority (BDA),RTI_Online_Karnataka,NA,Not Applicable
Karnataka,Bangalore Electricity Supply Company Ltd (BESCOM),RTI_Online_Karnataka,NA,Not Applicable
Karnataka,"Bangalore Mediation Centre, HCK",RTI_Online_Karnataka,NA,Not Applicable
Karnataka,Bangalore Medical College and Research Institute,RTI_Online_Karnataka,NA,Not Applicable
Karnataka,Bangalore Metro Rail Corporation Ltd. (BMRCL),RTI_Online_Karnataka,NA,Not Applicable
Karnataka,Bangalore Metropolitan Transport Corporation (BMTC),RTI_Online_Karnataka,NA,Not Applicable
Karnataka,Bangalore Water Supply And Sewerage Board (Kaveri Operation And Maintenance),RTI_Online_Karnataka,NA,Not Applicable
Karnataka,Bangalore Water Supply And Sewerage Board (North),RTI_Online_Karnataka,North,Not Applicable
Karnataka,Bangalore Water Supply And Sewerage Board (South),RTI_Online_Karnataka,South,Not Applicable
Karnataka,Bangalore Water Supply And Sewerage Board(WWM) - West,RTI_Online_Karnataka,Bangalore West,Not Applicable
Karnataka,Bangalore water supply and sewage board(Administration),RTI_Online_Karnataka,NA,Not Applicable
Karnataka,Bangalore water supply and sewage board(Design),RTI_Online_Karnataka,NA,Not Applicable
Karnataka,Bangalore water supply and sewage board(East),RTI_Online_Karnataka,Banglore east,Not Applicable
Karnataka,Bangalore water supply and sewage board(Finance),RTI_Online_Karnataka,NA,Not Applicable
Karnataka,Bangalore water supply and sewage board(Kaveri Project),RTI_Online_Karnataka,NA,Not Applicable
Karnataka,Bangalore water supply and sewage board(WWM) - East,RTI_Online_Karnataka,Banglore east,Not Applicable
